Technological Complexity,Staff Expertise,Project Size,Requirements Quality,Stakeholder Management,Market Conditions,Project Management Quality,Project Success
Very Low,Advanced,Large,Below Average,Good,Favorable,Excellent,Success
Low,Novice,Medium,Excellent,Excellent,Very Favorable,Very Poor,Success
High,Intermediate,Very Large,Below Average,Good,Favorable,Poor,Failure
High,Novice,Large,Excellent,Good,Neutral,Excellent,Success
High,Intermediate,Medium,Poor,Average,Very Unfavorable,Good,Failure
Low,Beginner,Large,Good,Poor,Favorable,Good,Success
High,Intermediate,Large,Average,Below Average,Neutral,Good,Failure
High,Expert,Large,Average,Poor,Neutral,Very Poor,Success
Very High,Advanced,Very Small,Excellent,Poor,Unfavorable,Very Poor,Failure
Very Low,Intermediate,Large,Below Average,Poor,Very Unfavorable,Average,Failure
Medium,Advanced,Medium,Below Average,Average,Unfavorable,Average,Success
Medium,Intermediate,Medium,Good,Excellent,Very Favorable,Good,Success
Low,Advanced,Small,Poor,Good,Neutral,Excellent,Success
Medium,Beginner,Very Small,Below Average,Poor,Neutral,Good,Failure
Very Low,Expert,Medium,Below Average,Excellent,Very Unfavorable,Poor,Failure
Medium,Expert,Very Small,Poor,Average,Unfavorable,Poor,Failure
Very Low,Expert,Small,Good,Excellent,Unfavorable,Good,Success
Very Low,Intermediate,Very Small,Below Average,Average,Very Unfavorable,Excellent,Failure
Very High,Expert,Medium,Excellent,Good,Unfavorable,Average,Failure
Medium,Novice,Very Large,Poor,Below Average,Very Unfavorable,Good,Failure
High,Novice,Very Small,Below Average,Below Average,Unfavorable,Excellent,Failure
Low,Expert,Very Small,Good,Good,Very Unfavorable,Excellent,Success
High,Expert,Very Large,Average,Average,Very Favorable,Poor,Failure
Medium,Intermediate,Large,Excellent,Below Average,Very Unfavorable,Average,Failure
Medium,Expert,Very Large,Excellent,Poor,Very Unfavorable,Excellent,Success
High,Advanced,Large,Excellent,Average,Unfavorable,Good,Failure
Very High,Beginner,Very Large,Excellent,Below Average,Unfavorable,Excellent,Failure
Medium,Intermediate,Very Small,Average,Below Average,Very Unfavorable,Good,Failure
Very High,Intermediate,Large,Average,Poor,Very Unfavorable,Excellent,Failure
Low,Novice,Large,Average,Good,Unfavorable,Poor,Failure
Medium,Intermediate,Very Large,Average,Below Average,Neutral,Average,Failure
High,Intermediate,Very Small,Good,Poor,Favorable,Excellent,Success
Very High,Beginner,Very Small,Below Average,Excellent,Very Favorable,Excellent,Success
Low,Advanced,Very Small,Average,Good,Very Unfavorable,Poor,Failure
Very Low,Beginner,Large,Average,Average,Unfavorable,Excellent,Failure
Low,Advanced,Large,Good,Good,Favorable,Very Poor,Success
Very High,Novice,Large,Poor,Below Average,Very Unfavorable,Very Poor,Failure
Medium,Beginner,Very Small,Good,Below Average,Unfavorable,Good,Failure
Medium,Beginner,Small,Poor,Poor,Unfavorable,Excellent,Failure
Very Low,Beginner,Small,Excellent,Below Average,Neutral,Good,Failure
Very High,Expert,Large,Good,Good,Very Unfavorable,Excellent,Success
Medium,Expert,Large,Excellent,Poor,Favorable,Poor,Failure
Medium,Beginner,Very Small,Poor,Excellent,Very Favorable,Average,Success
Very High,Intermediate,Very Small,Good,Excellent,Neutral,Average,Failure
Low,Novice,Small,Poor,Excellent,Very Favorable,Good,Success
High,Intermediate,Small,Poor,Poor,Very Unfavorable,Very Poor,Failure
Low,Novice,Very Large,Excellent,Good,Favorable,Excellent,Success
Very High,Novice,Very Small,Poor,Poor,Favorable,Average,Success
Low,Expert,Medium,Below Average,Average,Favorable,Good,Success
Medium,Novice,Very Large,Average,Poor,Unfavorable,Excellent,Failure
Very High,Beginner,Very Small,Good,Below Average,Favorable,Poor,Failure
Medium,Beginner,Medium,Excellent,Excellent,Unfavorable,Good,Success
Medium,Novice,Medium,Average,Poor,Favorable,Very Poor,Failure
Medium,Expert,Large,Excellent,Average,Very Favorable,Excellent,Success
Low,Intermediate,Large,Below Average,Below Average,Very Favorable,Excellent,Failure
High,Expert,Medium,Average,Good,Favorable,Average,Success
Very Low,Expert,Medium,Good,Poor,Favorable,Average,Success
High,Intermediate,Very Large,Poor,Excellent,Unfavorable,Good,Failure
Very Low,Beginner,Medium,Poor,Below Average,Unfavorable,Very Poor,Failure
Very High,Advanced,Large,Average,Poor,Unfavorable,Average,Failure
High,Expert,Large,Excellent,Below Average,Very Unfavorable,Excellent,Failure
Very Low,Beginner,Large,Good,Below Average,Unfavorable,Good,Failure
Medium,Novice,Small,Poor,Below Average,Unfavorable,Good,Failure
Very High,Expert,Very Large,Average,Average,Very Unfavorable,Very Poor,Failure
High,Expert,Very Large,Average,Poor,Favorable,Average,Success
Low,Novice,Very Large,Below Average,Below Average,Neutral,Average,Success
Very High,Advanced,Small,Good,Poor,Very Unfavorable,Very Poor,Failure
Medium,Advanced,Very Large,Good,Below Average,Unfavorable,Excellent,Failure
Medium,Intermediate,Small,Excellent,Excellent,Very Unfavorable,Good,Success
Medium,Novice,Small,Excellent,Poor,Very Favorable,Very Poor,Failure
Very Low,Beginner,Medium,Average,Poor,Very Favorable,Poor,Failure
High,Beginner,Small,Below Average,Excellent,Favorable,Very Poor,Failure
Very High,Advanced,Very Small,Average,Poor,Unfavorable,Good,Failure
High,Intermediate,Very Small,Excellent,Below Average,Very Favorable,Excellent,Success
High,Intermediate,Very Large,Poor,Average,Very Unfavorable,Poor,Failure
Very Low,Beginner,Very Small,Below Average,Poor,Unfavorable,Poor,Failure
Very Low,Intermediate,Medium,Good,Excellent,Favorable,Poor,Success
Medium,Advanced,Very Small,Poor,Average,Unfavorable,Good,Failure
High,Advanced,Small,Poor,Poor,Unfavorable,Very Poor,Success
Very Low,Intermediate,Very Small,Good,Below Average,Very Unfavorable,Average,Failure
Medium,Advanced,Large,Average,Good,Unfavorable,Good,Success
Very High,Advanced,Medium,Below Average,Good,Very Unfavorable,Good,Failure
Very Low,Intermediate,Very Large,Poor,Average,Very Unfavorable,Good,Failure
Very Low,Advanced,Large,Average,Excellent,Unfavorable,Average,Failure
Very High,Novice,Medium,Good,Poor,Favorable,Good,Success
Very High,Advanced,Medium,Average,Good,Favorable,Average,Success
Very Low,Expert,Medium,Poor,Good,Neutral,Poor,Failure
Very High,Beginner,Very Small,Below Average,Poor,Very Favorable,Very Poor,Failure
Very High,Novice,Very Small,Below Average,Poor,Unfavorable,Good,Failure
Medium,Intermediate,Large,Good,Excellent,Unfavorable,Average,Failure
Very Low,Beginner,Large,Average,Poor,Very Unfavorable,Poor,Failure
Very High,Expert,Small,Excellent,Good,Favorable,Excellent,Success
Medium,Beginner,Small,Below Average,Poor,Unfavorable,Very Poor,Failure
Very Low,Advanced,Small,Excellent,Below Average,Favorable,Excellent,Success
Very Low,Beginner,Medium,Average,Good,Neutral,Very Poor,Failure
Very Low,Intermediate,Very Large,Average,Average,Unfavorable,Good,Failure
Very High,Advanced,Small,Excellent,Excellent,Very Unfavorable,Average,Failure
Very High,Advanced,Large,Good,Good,Favorable,Very Poor,Success
High,Expert,Very Large,Excellent,Poor,Very Favorable,Good,Success
Medium,Beginner,Small,Poor,Excellent,Favorable,Poor,Success
High,Expert,Very Small,Excellent,Excellent,Favorable,Good,Success
Medium,Advanced,Small,Excellent,Average,Very Favorable,Excellent,Success
Low,Advanced,Small,Good,Below Average,Favorable,Very Poor,Failure
High,Expert,Medium,Poor,Below Average,Neutral,Average,Failure
Very Low,Advanced,Medium,Average,Poor,Unfavorable,Excellent,Failure
Low,Beginner,Small,Poor,Below Average,Unfavorable,Poor,Failure
Low,Novice,Medium,Excellent,Excellent,Unfavorable,Good,Failure
Low,Expert,Very Small,Average,Poor,Favorable,Very Poor,Failure
Medium,Intermediate,Very Large,Good,Below Average,Very Favorable,Poor,Success
Very High,Novice,Very Large,Average,Poor,Favorable,Average,Success
Very High,Intermediate,Medium,Good,Excellent,Unfavorable,Excellent,Success
Low,Advanced,Small,Excellent,Excellent,Very Favorable,Very Poor,Success
Very High,Novice,Very Small,Poor,Good,Unfavorable,Poor,Failure
Very Low,Advanced,Very Small,Poor,Below Average,Unfavorable,Average,Failure
Very High,Advanced,Large,Poor,Below Average,Neutral,Good,Failure
Medium,Expert,Medium,Poor,Average,Neutral,Average,Success
Low,Intermediate,Large,Poor,Below Average,Favorable,Excellent,Failure
High,Beginner,Medium,Below Average,Poor,Neutral,Poor,Failure
Very Low,Expert,Large,Excellent,Poor,Very Favorable,Average,Success
High,Expert,Small,Poor,Excellent,Very Unfavorable,Very Poor,Success
Low,Intermediate,Medium,Poor,Poor,Very Favorable,Excellent,Success
Low,Expert,Very Large,Good,Average,Unfavorable,Very Poor,Failure
High,Intermediate,Medium,Excellent,Excellent,Unfavorable,Average,Failure
Low,Expert,Very Large,Good,Excellent,Neutral,Average,Failure
Low,Novice,Large,Poor,Excellent,Unfavorable,Excellent,Success
Low,Intermediate,Large,Excellent,Below Average,Very Unfavorable,Excellent,Success
Very High,Beginner,Small,Excellent,Poor,Favorable,Good,Success
Very High,Expert,Very Large,Excellent,Below Average,Favorable,Average,Success
Medium,Novice,Small,Average,Good,Very Favorable,Average,Success
High,Beginner,Very Small,Below Average,Excellent,Favorable,Very Poor,Failure
Very Low,Expert,Very Large,Below Average,Good,Neutral,Good,Success
High,Expert,Medium,Poor,Below Average,Neutral,Very Poor,Failure
High,Advanced,Very Large,Below Average,Poor,Unfavorable,Average,Failure
Medium,Expert,Large,Excellent,Excellent,Neutral,Very Poor,Failure
Very High,Beginner,Small,Average,Good,Neutral,Poor,Failure
Very Low,Beginner,Very Small,Below Average,Good,Favorable,Excellent,Success
Very Low,Novice,Small,Below Average,Excellent,Very Unfavorable,Very Poor,Failure
Medium,Advanced,Very Small,Average,Average,Unfavorable,Very Poor,Failure
Low,Novice,Large,Good,Excellent,Very Favorable,Average,Success
High,Novice,Small,Poor,Good,Favorable,Good,Success
High,Expert,Medium,Excellent,Below Average,Unfavorable,Very Poor,Failure
Very Low,Novice,Medium,Average,Below Average,Favorable,Poor,Failure
High,Intermediate,Small,Good,Good,Neutral,Average,Failure
Very Low,Advanced,Small,Poor,Below Average,Very Favorable,Good,Success
Very High,Expert,Very Small,Good,Below Average,Very Favorable,Very Poor,Failure
Very High,Intermediate,Small,Poor,Average,Very Unfavorable,Excellent,Failure
Very Low,Beginner,Very Small,Below Average,Good,Unfavorable,Excellent,Success
Medium,Advanced,Small,Average,Poor,Very Favorable,Excellent,Success
High,Beginner,Small,Poor,Average,Favorable,Average,Success
Very Low,Beginner,Very Large,Average,Good,Unfavorable,Excellent,Success
Medium,Expert,Very Small,Average,Below Average,Neutral,Good,Failure
Very High,Intermediate,Large,Good,Below Average,Very Unfavorable,Average,Failure
High,Advanced,Medium,Excellent,Poor,Neutral,Poor,Success
High,Expert,Very Small,Good,Below Average,Very Favorable,Poor,Failure
Very High,Novice,Small,Good,Poor,Neutral,Excellent,Failure
Low,Advanced,Medium,Excellent,Below Average,Favorable,Average,Success
Very Low,Expert,Small,Excellent,Excellent,Favorable,Excellent,Success
Medium,Advanced,Large,Good,Excellent,Unfavorable,Excellent,Success
Medium,Advanced,Very Small,Average,Below Average,Very Unfavorable,Poor,Success
Low,Expert,Very Small,Below Average,Poor,Very Unfavorable,Poor,Failure
Medium,Beginner,Small,Excellent,Poor,Favorable,Average,Success
Medium,Beginner,Small,Below Average,Average,Neutral,Excellent,Failure
High,Expert,Very Small,Average,Excellent,Neutral,Average,Success
Very Low,Advanced,Small,Excellent,Average,Unfavorable,Good,Failure
High,Beginner,Very Small,Poor,Poor,Very Favorable,Good,Success
Very High,Intermediate,Very Large,Poor,Below Average,Very Favorable,Very Poor,Success
High,Novice,Large,Good,Excellent,Unfavorable,Poor,Failure
Low,Novice,Very Small,Below Average,Good,Very Favorable,Average,Success
Very Low,Intermediate,Large,Poor,Below Average,Favorable,Excellent,Failure
Low,Intermediate,Large,Good,Poor,Very Unfavorable,Very Poor,Failure
Very Low,Intermediate,Very Large,Good,Excellent,Very Unfavorable,Good,Success
Very Low,Advanced,Very Small,Good,Poor,Very Favorable,Excellent,Success
Very Low,Beginner,Small,Average,Poor,Very Favorable,Very Poor,Failure
Medium,Intermediate,Small,Below Average,Good,Very Favorable,Very Poor,Failure
High,Expert,Very Small,Excellent,Poor,Very Unfavorable,Good,Success
Medium,Novice,Very Small,Good,Poor,Very Favorable,Excellent,Success
Medium,Novice,Large,Excellent,Poor,Neutral,Excellent,Success
High,Intermediate,Large,Poor,Good,Neutral,Very Poor,Failure
Low,Beginner,Medium,Average,Average,Favorable,Poor,Failure
Very Low,Intermediate,Large,Excellent,Poor,Unfavorable,Poor,Failure
Low,Expert,Very Small,Good,Poor,Favorable,Poor,Success
Low,Intermediate,Medium,Average,Below Average,Very Unfavorable,Very Poor,Failure
Very High,Advanced,Large,Good,Excellent,Neutral,Poor,Failure
Medium,Intermediate,Small,Average,Excellent,Unfavorable,Good,Success
Very Low,Advanced,Large,Excellent,Excellent,Neutral,Very Poor,Failure
High,Beginner,Large,Excellent,Excellent,Very Favorable,Poor,Failure
Low,Beginner,Large,Poor,Excellent,Very Unfavorable,Average,Failure
Very High,Expert,Large,Below Average,Below Average,Unfavorable,Excellent,Failure
Very High,Beginner,Very Large,Good,Good,Favorable,Very Poor,Failure
Low,Advanced,Very Small,Good,Excellent,Very Unfavorable,Excellent,Success
Low,Beginner,Medium,Poor,Below Average,Favorable,Excellent,Success
Very High,Advanced,Very Small,Average,Below Average,Favorable,Poor,Failure
Medium,Expert,Large,Average,Poor,Favorable,Average,Success
Very High,Advanced,Small,Excellent,Excellent,Very Favorable,Poor,Failure
Very High,Intermediate,Medium,Excellent,Below Average,Favorable,Average,Success
Very High,Beginner,Very Small,Good,Below Average,Neutral,Average,Failure
Medium,Novice,Small,Below Average,Below Average,Unfavorable,Excellent,Failure
Medium,Intermediate,Large,Good,Below Average,Unfavorable,Excellent,Failure
Medium,Advanced,Small,Average,Average,Very Unfavorable,Average,Failure
High,Intermediate,Very Small,Below Average,Below Average,Neutral,Average,Failure
High,Intermediate,Medium,Below Average,Good,Favorable,Average,Success
High,Intermediate,Very Small,Poor,Good,Neutral,Excellent,Success
High,Intermediate,Small,Excellent,Excellent,Favorable,Good,Success
Very Low,Advanced,Small,Below Average,Excellent,Favorable,Good,Success
Very Low,Beginner,Very Small,Good,Excellent,Unfavorable,Very Poor,Failure
Very Low,Beginner,Very Small,Average,Below Average,Very Favorable,Good,Success
Low,Intermediate,Very Small,Excellent,Excellent,Very Unfavorable,Poor,Failure
Very Low,Novice,Small,Good,Excellent,Unfavorable,Excellent,Failure
Low,Beginner,Very Large,Average,Good,Favorable,Good,Success
Very High,Advanced,Very Small,Good,Excellent,Very Unfavorable,Average,Failure
Very Low,Advanced,Large,Good,Poor,Favorable,Average,Success
Medium,Beginner,Small,Excellent,Below Average,Unfavorable,Poor,Failure
High,Advanced,Very Large,Average,Below Average,Favorable,Very Poor,Failure
Low,Advanced,Medium,Good,Below Average,Very Unfavorable,Average,Failure
Very High,Expert,Very Large,Below Average,Poor,Favorable,Good,Success
Very Low,Advanced,Medium,Excellent,Average,Unfavorable,Average,Failure
High,Beginner,Very Large,Poor,Average,Favorable,Very Poor,Failure
Medium,Beginner,Small,Below Average,Good,Very Unfavorable,Poor,Failure
Very High,Novice,Large,Average,Average,Neutral,Very Poor,Failure
Medium,Intermediate,Small,Below Average,Poor,Neutral,Very Poor,Failure
Very Low,Beginner,Very Large,Good,Good,Very Favorable,Excellent,Success
Low,Advanced,Very Large,Poor,Below Average,Very Favorable,Average,Success
Very High,Novice,Medium,Excellent,Excellent,Unfavorable,Average,Failure
Very Low,Expert,Very Small,Poor,Below Average,Favorable,Good,Success
Very Low,Novice,Small,Below Average,Excellent,Favorable,Very Poor,Success
Low,Advanced,Medium,Poor,Excellent,Favorable,Poor,Success
Low,Beginner,Very Large,Average,Below Average,Unfavorable,Average,Failure
Very Low,Novice,Very Large,Good,Poor,Unfavorable,Average,Failure
Low,Advanced,Very Small,Good,Below Average,Favorable,Poor,Failure
Very High,Expert,Small,Average,Poor,Very Unfavorable,Excellent,Failure
Low,Novice,Very Large,Good,Average,Unfavorable,Good,Failure
Very High,Advanced,Large,Excellent,Average,Very Favorable,Average,Success
Very Low,Intermediate,Very Small,Good,Below Average,Very Unfavorable,Average,Failure
High,Beginner,Very Small,Good,Poor,Neutral,Good,Failure
Very Low,Advanced,Medium,Below Average,Below Average,Favorable,Good,Success
Very Low,Intermediate,Medium,Poor,Poor,Very Favorable,Average,Success
Very Low,Beginner,Medium,Good,Poor,Very Favorable,Good,Success
Very High,Beginner,Very Large,Below Average,Below Average,Very Favorable,Good,Success
High,Beginner,Very Small,Average,Poor,Very Favorable,Poor,Failure
Low,Intermediate,Small,Excellent,Poor,Favorable,Good,Success
Medium,Novice,Large,Average,Good,Very Favorable,Poor,Failure
Very High,Intermediate,Very Large,Excellent,Good,Very Favorable,Very Poor,Success
Very Low,Intermediate,Very Large,Below Average,Excellent,Very Unfavorable,Good,Success
Very Low,Advanced,Small,Average,Poor,Unfavorable,Poor,Failure
Medium,Advanced,Very Large,Below Average,Excellent,Neutral,Very Poor,Failure
Low,Expert,Small,Excellent,Average,Favorable,Good,Success
High,Intermediate,Small,Good,Poor,Neutral,Good,Failure
Very Low,Intermediate,Very Small,Below Average,Average,Neutral,Excellent,Failure
Medium,Expert,Very Large,Poor,Good,Unfavorable,Average,Failure
Very Low,Intermediate,Very Large,Good,Average,Favorable,Excellent,Success
Medium,Intermediate,Large,Good,Average,Very Unfavorable,Good,Failure
Low,Expert,Small,Poor,Below Average,Unfavorable,Excellent,Failure
Medium,Expert,Large,Average,Poor,Very Favorable,Excellent,Success
Very Low,Expert,Large,Poor,Poor,Very Favorable,Good,Success
Very High,Beginner,Large,Good,Excellent,Neutral,Average,Failure
Low,Advanced,Medium,Average,Average,Very Unfavorable,Very Poor,Failure
Medium,Expert,Very Small,Average,Good,Neutral,Good,Success
Very High,Beginner,Small,Excellent,Good,Very Favorable,Good,Success
High,Advanced,Very Large,Poor,Average,Favorable,Poor,Failure
High,Expert,Medium,Good,Below Average,Unfavorable,Very Poor,Failure
Medium,Intermediate,Medium,Below Average,Average,Very Unfavorable,Good,Failure
Low,Intermediate,Medium,Excellent,Average,Unfavorable,Average,Failure
Very Low,Advanced,Very Large,Below Average,Good,Unfavorable,Very Poor,Failure
High,Novice,Medium,Average,Average,Neutral,Poor,Failure
Very High,Advanced,Medium,Good,Excellent,Very Favorable,Very Poor,Failure
Very High,Beginner,Very Large,Good,Good,Very Unfavorable,Poor,Failure
Very High,Intermediate,Very Small,Poor,Good,Unfavorable,Good,Failure
High,Intermediate,Medium,Good,Below Average,Very Unfavorable,Good,Success
Medium,Expert,Small,Good,Average,Very Unfavorable,Very Poor,Failure
High,Beginner,Very Small,Poor,Good,Very Favorable,Average,Success
Low,Novice,Very Large,Poor,Average,Unfavorable,Excellent,Failure
Low,Beginner,Very Small,Good,Poor,Very Unfavorable,Very Poor,Success
Medium,Beginner,Very Small,Good,Below Average,Very Unfavorable,Excellent,Failure
Very High,Beginner,Large,Excellent,Good,Unfavorable,Good,Failure
High,Beginner,Very Large,Below Average,Excellent,Unfavorable,Average,Failure
Medium,Novice,Very Small,Excellent,Below Average,Unfavorable,Very Poor,Failure
Very Low,Beginner,Very Large,Excellent,Average,Neutral,Excellent,Failure
Low,Novice,Medium,Average,Below Average,Unfavorable,Very Poor,Failure
Very Low,Advanced,Very Large,Good,Poor,Very Favorable,Very Poor,Success
Very Low,Beginner,Very Small,Excellent,Below Average,Very Unfavorable,Average,Failure
High,Expert,Very Large,Good,Good,Neutral,Excellent,Success
Medium,Novice,Large,Excellent,Poor,Unfavorable,Good,Failure
Very Low,Novice,Large,Average,Average,Favorable,Good,Success
Very Low,Beginner,Large,Good,Poor,Neutral,Good,Failure
Very High,Expert,Very Large,Below Average,Excellent,Neutral,Poor,Failure
Very High,Expert,Very Small,Average,Below Average,Neutral,Poor,Failure
Very Low,Beginner,Medium,Poor,Average,Neutral,Average,Failure
High,Expert,Small,Below Average,Good,Very Unfavorable,Excellent,Success
Very Low,Novice,Medium,Excellent,Excellent,Very Unfavorable,Excellent,Success
Low,Beginner,Large,Good,Below Average,Neutral,Poor,Failure
Medium,Beginner,Very Small,Good,Good,Favorable,Poor,Success
High,Beginner,Very Large,Below Average,Excellent,Unfavorable,Poor,Failure
Very High,Advanced,Very Large,Poor,Below Average,Neutral,Average,Success
Medium,Beginner,Very Small,Good,Good,Neutral,Very Poor,Failure
Low,Intermediate,Very Small,Poor,Average,Unfavorable,Very Poor,Failure
High,Intermediate,Large,Poor,Below Average,Very Unfavorable,Very Poor,Failure
High,Novice,Large,Average,Good,Neutral,Excellent,Success
High,Advanced,Very Small,Below Average,Excellent,Neutral,Very Poor,Failure
Very High,Advanced,Large,Below Average,Average,Neutral,Average,Success
Medium,Expert,Small,Below Average,Excellent,Neutral,Poor,Success
Low,Beginner,Very Large,Excellent,Average,Unfavorable,Excellent,Failure
Very Low,Intermediate,Large,Below Average,Good,Very Unfavorable,Very Poor,Failure
Very Low,Advanced,Large,Good,Below Average,Favorable,Poor,Failure
Very Low,Intermediate,Large,Good,Good,Unfavorable,Excellent,Success
Medium,Intermediate,Very Small,Below Average,Excellent,Favorable,Good,Failure
High,Beginner,Small,Good,Poor,Favorable,Average,Success
Low,Intermediate,Large,Average,Good,Unfavorable,Average,Failure
Very High,Novice,Small,Excellent,Average,Very Unfavorable,Average,Failure
High,Novice,Small,Excellent,Excellent,Very Unfavorable,Average,Failure
Very High,Advanced,Very Small,Poor,Good,Very Unfavorable,Average,Failure
High,Advanced,Large,Poor,Excellent,Unfavorable,Very Poor,Failure
Very Low,Expert,Small,Excellent,Average,Unfavorable,Very Poor,Failure
High,Intermediate,Large,Below Average,Average,Very Favorable,Good,Success
Very Low,Advanced,Large,Below Average,Average,Unfavorable,Excellent,Failure
Very Low,Beginner,Medium,Average,Below Average,Very Favorable,Very Poor,Success
Low,Advanced,Very Large,Excellent,Good,Favorable,Average,Success
Low,Novice,Large,Good,Below Average,Unfavorable,Poor,Success
Very High,Intermediate,Very Small,Good,Average,Very Favorable,Poor,Failure
Very High,Novice,Very Large,Poor,Poor,Very Unfavorable,Excellent,Failure
Medium,Advanced,Very Small,Excellent,Good,Favorable,Good,Success
Medium,Advanced,Very Small,Poor,Good,Unfavorable,Good,Success
Very High,Novice,Very Small,Average,Excellent,Neutral,Very Poor,Success
Low,Expert,Medium,Poor,Below Average,Favorable,Good,Success
Very Low,Expert,Very Large,Average,Poor,Favorable,Good,Success
Medium,Advanced,Very Small,Excellent,Below Average,Very Favorable,Average,Success
Low,Expert,Medium,Average,Below Average,Unfavorable,Poor,Failure
Very Low,Novice,Very Large,Poor,Average,Very Favorable,Very Poor,Failure
Medium,Intermediate,Very Small,Excellent,Good,Favorable,Good,Failure
Low,Advanced,Very Small,Poor,Below Average,Very Unfavorable,Good,Failure
Very High,Beginner,Large,Good,Poor,Unfavorable,Poor,Failure
Low,Expert,Very Large,Below Average,Good,Unfavorable,Excellent,Success
Medium,Expert,Small,Average,Good,Unfavorable,Very Poor,Failure
Very Low,Beginner,Very Small,Average,Below Average,Very Unfavorable,Good,Failure
