Technological Complexity,Staff Expertise,Project Size,Requirements Quality,Stakeholder Management,Market Conditions,Project Management Quality,Project Success
Medium,Beginner,Very Small,Below Average,Below Average,Favorable,Very Poor,Failure
High,Novice,Very Small,Average,Poor,Neutral,Very Poor,Failure
Very High,Novice,Large,Average,Poor,Favorable,Excellent,Success
High,Expert,Large,Good,Good,Very Unfavorable,Good,Failure
Medium,Intermediate,Large,Excellent,Excellent,Very Favorable,Very Poor,Success
Medium,Novice,Very Large,Average,Good,Very Favorable,Good,Success
Low,Novice,Medium,Good,Excellent,Neutral,Good,Success
Low,Advanced,Very Large,Average,Poor,Very Favorable,Average,Failure
High,Advanced,Medium,Excellent,Average,Very Unfavorable,Excellent,Failure
Low,Novice,Small,Good,Below Average,Neutral,Very Poor,Failure
Low,Intermediate,Very Large,Average,Below Average,Very Unfavorable,Very Poor,Failure
High,Expert,Very Small,Good,Below Average,Unfavorable,Good,Failure
Low,Beginner,Small,Below Average,Excellent,Very Favorable,Very Poor,Success
High,Novice,Very Small,Average,Excellent,Unfavorable,Average,Failure
Very Low,Intermediate,Medium,Poor,Good,Favorable,Average,Success
High,Intermediate,Large,Excellent,Poor,Unfavorable,Poor,Failure
Low,Intermediate,Medium,Average,Average,Very Favorable,Very Poor,Failure
Very High,Novice,Very Large,Average,Excellent,Favorable,Very Poor,Failure
Very High,Novice,Small,Poor,Good,Very Favorable,Excellent,Success
High,Intermediate,Small,Good,Good,Very Favorable,Good,Success
Very High,Intermediate,Small,Excellent,Poor,Very Favorable,Excellent,Success
Very High,Novice,Medium,Poor,Good,Very Unfavorable,Average,Failure
Low,Expert,Very Large,Excellent,Average,Very Favorable,Very Poor,Failure
Very Low,Novice,Large,Average,Poor,Favorable,Very Poor,Failure
Very Low,Advanced,Small,Excellent,Below Average,Favorable,Excellent,Success
Low,Intermediate,Large,Good,Average,Neutral,Excellent,Failure
Very Low,Expert,Small,Below Average,Below Average,Very Favorable,Poor,Success
High,Beginner,Small,Excellent,Average,Very Unfavorable,Poor,Failure
Very Low,Novice,Medium,Below Average,Below Average,Very Favorable,Poor,Success
Very High,Intermediate,Very Small,Good,Good,Favorable,Excellent,Success
Low,Novice,Small,Poor,Excellent,Unfavorable,Good,Success
Medium,Beginner,Very Small,Excellent,Excellent,Very Favorable,Excellent,Success
Very High,Novice,Medium,Excellent,Average,Very Unfavorable,Average,Failure
Very High,Expert,Small,Excellent,Below Average,Favorable,Very Poor,Failure
High,Beginner,Very Large,Excellent,Average,Very Favorable,Good,Failure
Medium,Advanced,Small,Below Average,Good,Neutral,Very Poor,Failure
High,Advanced,Small,Good,Excellent,Unfavorable,Good,Success
Low,Intermediate,Very Large,Below Average,Below Average,Favorable,Good,Success
Medium,Advanced,Very Large,Average,Below Average,Neutral,Average,Failure
Low,Novice,Small,Average,Good,Favorable,Average,Success
Very Low,Expert,Large,Poor,Excellent,Unfavorable,Average,Failure
Very High,Advanced,Medium,Poor,Below Average,Neutral,Very Poor,Failure
Very Low,Intermediate,Large,Excellent,Excellent,Neutral,Average,Failure
Low,Novice,Small,Average,Poor,Unfavorable,Good,Failure
High,Intermediate,Very Small,Below Average,Average,Unfavorable,Very Poor,Failure
Very High,Intermediate,Very Large,Good,Good,Unfavorable,Good,Failure
Very High,Expert,Very Large,Average,Below Average,Favorable,Poor,Failure
Medium,Expert,Very Small,Average,Poor,Favorable,Very Poor,Failure
Very Low,Intermediate,Medium,Below Average,Below Average,Very Unfavorable,Good,Failure
Low,Intermediate,Medium,Average,Poor,Neutral,Good,Failure
Low,Advanced,Small,Below Average,Poor,Neutral,Very Poor,Failure
Low,Advanced,Small,Below Average,Excellent,Very Favorable,Poor,Success
Low,Beginner,Very Large,Below Average,Good,Neutral,Very Poor,Failure
High,Expert,Very Small,Below Average,Below Average,Very Unfavorable,Average,Failure
Low,Advanced,Very Small,Average,Average,Very Unfavorable,Average,Failure
High,Intermediate,Large,Average,Good,Unfavorable,Average,Failure
High,Advanced,Medium,Good,Average,Neutral,Excellent,Failure
Medium,Beginner,Medium,Poor,Below Average,Very Unfavorable,Poor,Failure
Medium,Advanced,Small,Good,Below Average,Unfavorable,Very Poor,Failure
Very Low,Intermediate,Small,Below Average,Average,Very Unfavorable,Excellent,Failure
Low,Advanced,Medium,Excellent,Below Average,Neutral,Poor,Failure
High,Advanced,Large,Good,Poor,Neutral,Good,Failure
Medium,Expert,Small,Excellent,Poor,Unfavorable,Very Poor,Failure
Low,Expert,Small,Excellent,Below Average,Neutral,Average,Failure
Medium,Beginner,Large,Average,Excellent,Unfavorable,Poor,Failure
Medium,Beginner,Very Large,Below Average,Below Average,Neutral,Good,Failure
Very Low,Advanced,Medium,Poor,Below Average,Very Favorable,Poor,Failure
High,Expert,Very Small,Poor,Average,Unfavorable,Good,Failure
High,Expert,Very Small,Poor,Poor,Very Favorable,Poor,Failure
Medium,Advanced,Very Small,Poor,Excellent,Neutral,Average,Failure
Low,Expert,Very Small,Poor,Poor,Favorable,Excellent,Failure
High,Novice,Very Small,Excellent,Excellent,Neutral,Good,Success
Very Low,Intermediate,Very Large,Excellent,Good,Favorable,Very Poor,Success
High,Novice,Medium,Excellent,Good,Neutral,Very Poor,Failure
Very Low,Novice,Small,Below Average,Excellent,Unfavorable,Poor,Failure
Low,Novice,Very Small,Good,Below Average,Very Unfavorable,Excellent,Success
Medium,Expert,Large,Average,Poor,Unfavorable,Good,Failure
Low,Advanced,Very Small,Excellent,Average,Favorable,Excellent,Success
Low,Beginner,Very Large,Below Average,Good,Neutral,Poor,Failure
Very Low,Intermediate,Medium,Below Average,Average,Neutral,Good,Failure
Low,Intermediate,Large,Average,Below Average,Neutral,Very Poor,Failure
Medium,Novice,Very Small,Poor,Excellent,Very Unfavorable,Very Poor,Failure
High,Beginner,Very Large,Below Average,Average,Very Unfavorable,Good,Failure
Very Low,Advanced,Very Small,Good,Below Average,Unfavorable,Good,Failure
Very Low,Beginner,Very Small,Good,Below Average,Unfavorable,Good,Failure
Low,Beginner,Large,Good,Average,Favorable,Very Poor,Failure
Low,Intermediate,Very Large,Below Average,Poor,Very Unfavorable,Good,Failure
Low,Expert,Medium,Below Average,Good,Very Favorable,Good,Success
Very High,Novice,Very Large,Below Average,Good,Unfavorable,Excellent,Success
Medium,Expert,Medium,Below Average,Below Average,Very Favorable,Poor,Failure
Low,Intermediate,Medium,Good,Good,Unfavorable,Excellent,Success
Very High,Beginner,Medium,Average,Below Average,Very Favorable,Poor,Failure
Very Low,Novice,Medium,Average,Poor,Very Favorable,Poor,Failure
Medium,Advanced,Very Large,Below Average,Excellent,Unfavorable,Poor,Success
Very High,Advanced,Large,Good,Excellent,Very Unfavorable,Very Poor,Failure
Very Low,Beginner,Medium,Average,Excellent,Unfavorable,Very Poor,Failure
High,Expert,Small,Good,Poor,Very Unfavorable,Good,Failure
High,Expert,Medium,Below Average,Excellent,Neutral,Excellent,Success
Medium,Novice,Small,Below Average,Excellent,Neutral,Excellent,Success
Very High,Intermediate,Very Small,Excellent,Average,Neutral,Good,Success
Very High,Expert,Medium,Below Average,Poor,Neutral,Excellent,Failure
Very Low,Advanced,Small,Good,Excellent,Favorable,Good,Success
High,Advanced,Medium,Below Average,Average,Favorable,Average,Success
High,Advanced,Very Large,Poor,Excellent,Unfavorable,Excellent,Success
Low,Expert,Large,Excellent,Below Average,Very Favorable,Very Poor,Failure
Very High,Beginner,Very Small,Below Average,Excellent,Favorable,Average,Success
Medium,Expert,Large,Below Average,Average,Favorable,Good,Success
High,Expert,Large,Excellent,Below Average,Very Favorable,Very Poor,Failure
Medium,Novice,Very Large,Poor,Poor,Favorable,Excellent,Success
Medium,Intermediate,Small,Excellent,Poor,Very Favorable,Poor,Failure
Low,Expert,Very Small,Good,Poor,Favorable,Good,Success
High,Expert,Large,Good,Excellent,Neutral,Excellent,Success
Medium,Intermediate,Medium,Poor,Average,Very Favorable,Excellent,Success
High,Advanced,Small,Below Average,Poor,Neutral,Good,Failure
Low,Intermediate,Very Small,Excellent,Average,Unfavorable,Good,Failure
Very Low,Expert,Large,Average,Poor,Very Favorable,Good,Success
Very Low,Beginner,Large,Poor,Good,Very Favorable,Excellent,Success
Very Low,Novice,Small,Excellent,Below Average,Very Unfavorable,Average,Failure
Medium,Novice,Medium,Excellent,Excellent,Favorable,Poor,Success
Medium,Intermediate,Large,Poor,Below Average,Very Favorable,Excellent,Success
Medium,Intermediate,Very Large,Average,Below Average,Very Unfavorable,Good,Failure
High,Advanced,Very Large,Good,Good,Very Unfavorable,Average,Failure
Very High,Novice,Small,Good,Average,Very Unfavorable,Poor,Failure
High,Intermediate,Very Small,Below Average,Below Average,Neutral,Average,Failure
Very Low,Expert,Small,Below Average,Good,Very Unfavorable,Good,Success
Very High,Expert,Small,Good,Average,Very Favorable,Poor,Failure
Low,Beginner,Very Small,Average,Good,Unfavorable,Average,Failure
Very High,Beginner,Very Small,Poor,Average,Favorable,Average,Success
Low,Intermediate,Very Small,Excellent,Good,Neutral,Average,Failure
Medium,Advanced,Medium,Below Average,Below Average,Very Unfavorable,Poor,Failure
Very Low,Advanced,Large,Good,Below Average,Very Unfavorable,Good,Failure
Medium,Advanced,Small,Excellent,Good,Neutral,Poor,Failure
High,Advanced,Very Large,Poor,Below Average,Neutral,Average,Failure
Medium,Novice,Very Small,Poor,Good,Very Favorable,Average,Success
Medium,Advanced,Very Small,Below Average,Good,Very Favorable,Good,Success
Very High,Beginner,Very Small,Below Average,Excellent,Unfavorable,Very Poor,Failure
Low,Beginner,Large,Average,Poor,Very Favorable,Good,Success
Very Low,Novice,Very Large,Poor,Below Average,Very Favorable,Poor,Failure
Medium,Intermediate,Small,Good,Good,Neutral,Average,Failure
Medium,Expert,Large,Poor,Poor,Neutral,Excellent,Success
Low,Beginner,Medium,Poor,Good,Favorable,Average,Success
High,Beginner,Very Large,Average,Below Average,Neutral,Very Poor,Failure
High,Novice,Very Large,Poor,Good,Neutral,Very Poor,Failure
Very High,Beginner,Medium,Good,Average,Very Favorable,Good,Failure
Low,Expert,Small,Average,Average,Very Favorable,Excellent,Success
Medium,Novice,Very Large,Poor,Excellent,Neutral,Poor,Failure
High,Advanced,Very Small,Below Average,Below Average,Neutral,Good,Failure
High,Advanced,Small,Excellent,Below Average,Favorable,Average,Success
Very Low,Advanced,Large,Poor,Poor,Very Unfavorable,Excellent,Failure
Very Low,Expert,Medium,Good,Good,Neutral,Average,Failure
Very High,Intermediate,Very Small,Good,Below Average,Unfavorable,Excellent,Success
High,Beginner,Very Small,Below Average,Below Average,Favorable,Excellent,Success
High,Expert,Very Small,Poor,Poor,Very Unfavorable,Excellent,Failure
Low,Intermediate,Large,Poor,Average,Very Favorable,Poor,Failure
Very Low,Novice,Very Small,Poor,Below Average,Neutral,Excellent,Failure
Very Low,Expert,Very Large,Good,Poor,Unfavorable,Good,Failure
High,Novice,Very Small,Average,Average,Very Favorable,Very Poor,Failure
Very High,Intermediate,Small,Average,Below Average,Neutral,Excellent,Failure
High,Expert,Very Large,Below Average,Average,Very Unfavorable,Poor,Failure
Medium,Beginner,Very Small,Good,Below Average,Neutral,Average,Failure
Very Low,Intermediate,Large,Excellent,Excellent,Neutral,Excellent,Success
Very Low,Beginner,Very Small,Below Average,Good,Unfavorable,Very Poor,Failure
Low,Novice,Large,Average,Poor,Favorable,Poor,Failure
Very High,Beginner,Very Large,Excellent,Below Average,Very Favorable,Poor,Failure
Low,Expert,Very Large,Below Average,Good,Very Favorable,Average,Success
Very Low,Expert,Very Large,Below Average,Excellent,Neutral,Excellent,Success
Very High,Advanced,Very Large,Good,Average,Unfavorable,Good,Failure
High,Beginner,Large,Poor,Excellent,Favorable,Excellent,Success
High,Advanced,Small,Average,Good,Neutral,Poor,Failure
Very High,Intermediate,Large,Average,Poor,Very Favorable,Excellent,Success
Medium,Novice,Large,Poor,Good,Neutral,Good,Success
High,Intermediate,Very Small,Excellent,Average,Very Unfavorable,Good,Success
Low,Novice,Very Small,Excellent,Good,Favorable,Poor,Failure
High,Beginner,Large,Excellent,Excellent,Neutral,Very Poor,Failure
High,Expert,Medium,Poor,Good,Unfavorable,Poor,Success
Medium,Beginner,Small,Good,Good,Very Favorable,Good,Success
High,Novice,Very Large,Good,Good,Very Unfavorable,Good,Failure
Low,Advanced,Very Large,Below Average,Good,Unfavorable,Excellent,Success
Low,Novice,Very Large,Average,Average,Very Favorable,Average,Success
Low,Advanced,Very Small,Poor,Good,Very Unfavorable,Good,Success
Very Low,Intermediate,Very Small,Good,Poor,Very Favorable,Very Poor,Failure
High,Expert,Small,Average,Average,Favorable,Poor,Failure
High,Intermediate,Small,Excellent,Average,Neutral,Good,Failure
Very High,Beginner,Large,Poor,Good,Very Favorable,Excellent,Success
Medium,Advanced,Very Small,Average,Excellent,Very Unfavorable,Excellent,Success
Very Low,Advanced,Very Large,Good,Good,Favorable,Average,Success
High,Intermediate,Large,Excellent,Average,Neutral,Poor,Failure
Low,Expert,Medium,Below Average,Below Average,Favorable,Good,Success
Very Low,Expert,Medium,Below Average,Poor,Unfavorable,Average,Failure
Very Low,Intermediate,Small,Below Average,Excellent,Unfavorable,Very Poor,Failure
Low,Expert,Very Small,Good,Excellent,Neutral,Good,Success
Very High,Beginner,Very Small,Poor,Excellent,Unfavorable,Average,Failure
High,Novice,Medium,Average,Average,Neutral,Very Poor,Failure
Medium,Advanced,Small,Good,Excellent,Unfavorable,Excellent,Success
Very High,Advanced,Small,Average,Excellent,Unfavorable,Poor,Failure
Medium,Advanced,Very Small,Good,Below Average,Unfavorable,Poor,Failure
Medium,Novice,Very Small,Excellent,Below Average,Neutral,Very Poor,Failure
High,Beginner,Medium,Good,Below Average,Very Favorable,Good,Success
Very Low,Intermediate,Very Large,Below Average,Excellent,Very Favorable,Poor,Success
Low,Expert,Small,Poor,Excellent,Unfavorable,Poor,Failure
Medium,Expert,Very Small,Average,Good,Very Favorable,Very Poor,Success
Very High,Novice,Small,Excellent,Average,Favorable,Very Poor,Failure
High,Advanced,Very Large,Below Average,Good,Unfavorable,Excellent,Success
High,Expert,Medium,Excellent,Average,Favorable,Very Poor,Failure
Very High,Intermediate,Very Large,Average,Good,Very Favorable,Very Poor,Failure
Medium,Expert,Medium,Good,Below Average,Neutral,Average,Failure
Medium,Advanced,Small,Poor,Excellent,Very Unfavorable,Good,Success
Medium,Intermediate,Large,Below Average,Below Average,Neutral,Average,Failure
Very High,Advanced,Small,Poor,Good,Neutral,Very Poor,Failure
Medium,Advanced,Large,Average,Average,Very Favorable,Excellent,Success
Very High,Novice,Small,Excellent,Poor,Neutral,Good,Failure
High,Advanced,Very Large,Poor,Poor,Very Favorable,Average,Success
Very High,Intermediate,Medium,Excellent,Excellent,Very Unfavorable,Average,Failure
Low,Novice,Small,Poor,Excellent,Very Favorable,Good,Success
Very Low,Novice,Very Small,Average,Good,Favorable,Very Poor,Success
Very Low,Intermediate,Medium,Excellent,Average,Very Favorable,Good,Success
Low,Novice,Very Large,Poor,Average,Favorable,Average,Success
Very High,Intermediate,Small,Poor,Below Average,Neutral,Poor,Failure
Very Low,Expert,Medium,Average,Good,Neutral,Good,Success
Low,Novice,Very Small,Excellent,Below Average,Favorable,Excellent,Success
Medium,Expert,Medium,Poor,Good,Neutral,Average,Failure
Low,Novice,Small,Below Average,Good,Unfavorable,Average,Failure
Very Low,Advanced,Very Small,Average,Excellent,Very Unfavorable,Poor,Success
Very High,Intermediate,Small,Poor,Excellent,Very Favorable,Poor,Failure
Very High,Advanced,Large,Average,Average,Very Unfavorable,Poor,Failure
Very High,Expert,Medium,Good,Average,Neutral,Poor,Success
Very Low,Intermediate,Very Small,Poor,Excellent,Very Unfavorable,Very Poor,Failure
Medium,Intermediate,Small,Below Average,Poor,Unfavorable,Good,Failure
Very High,Expert,Large,Good,Average,Unfavorable,Excellent,Success
High,Intermediate,Small,Average,Below Average,Very Favorable,Excellent,Success
Medium,Intermediate,Small,Excellent,Poor,Neutral,Average,Failure
Low,Novice,Medium,Excellent,Below Average,Neutral,Very Poor,Failure
High,Beginner,Medium,Average,Good,Unfavorable,Average,Failure
Medium,Advanced,Large,Excellent,Good,Favorable,Excellent,Success
Very Low,Beginner,Medium,Excellent,Good,Very Unfavorable,Good,Success
High,Intermediate,Very Small,Below Average,Average,Unfavorable,Very Poor,Failure
Medium,Beginner,Large,Good,Average,Very Unfavorable,Very Poor,Failure
Medium,Novice,Medium,Poor,Good,Very Favorable,Excellent,Success
Medium,Expert,Very Large,Good,Average,Unfavorable,Average,Failure
Medium,Expert,Very Small,Average,Average,Very Favorable,Good,Success
Very High,Beginner,Small,Below Average,Below Average,Favorable,Very Poor,Failure
High,Novice,Very Small,Average,Excellent,Favorable,Average,Success
Medium,Expert,Very Small,Good,Good,Neutral,Very Poor,Failure
Low,Beginner,Very Small,Below Average,Poor,Very Favorable,Average,Success
Medium,Beginner,Very Large,Below Average,Excellent,Unfavorable,Poor,Success
Very High,Advanced,Very Small,Good,Excellent,Very Unfavorable,Average,Failure
High,Novice,Very Large,Poor,Below Average,Very Unfavorable,Excellent,Failure
High,Advanced,Very Large,Good,Good,Very Favorable,Good,Success
Medium,Beginner,Medium,Below Average,Poor,Unfavorable,Very Poor,Failure
Medium,Advanced,Very Large,Below Average,Poor,Neutral,Average,Failure
Low,Advanced,Very Large,Poor,Below Average,Favorable,Excellent,Success
High,Beginner,Large,Poor,Excellent,Favorable,Good,Success
High,Expert,Very Large,Average,Below Average,Neutral,Average,Failure
High,Intermediate,Very Small,Average,Poor,Unfavorable,Average,Failure
Very Low,Expert,Small,Below Average,Excellent,Very Unfavorable,Very Poor,Failure
High,Novice,Very Large,Average,Excellent,Very Unfavorable,Poor,Failure
High,Expert,Very Large,Poor,Below Average,Very Unfavorable,Very Poor,Failure
Low,Beginner,Medium,Average,Good,Unfavorable,Poor,Failure
Low,Advanced,Medium,Average,Average,Unfavorable,Good,Failure
Very High,Novice,Very Small,Below Average,Excellent,Very Favorable,Very Poor,Failure
Low,Novice,Large,Good,Excellent,Very Favorable,Excellent,Success
High,Novice,Very Large,Good,Average,Neutral,Excellent,Failure
High,Advanced,Small,Excellent,Poor,Neutral,Excellent,Failure
High,Expert,Very Large,Excellent,Average,Very Unfavorable,Excellent,Failure
Low,Advanced,Large,Below Average,Below Average,Unfavorable,Poor,Failure
Medium,Intermediate,Large,Below Average,Excellent,Very Favorable,Average,Success
Very Low,Novice,Small,Good,Excellent,Very Unfavorable,Good,Success
Very High,Beginner,Very Small,Below Average,Good,Very Favorable,Excellent,Success
Medium,Advanced,Very Large,Poor,Poor,Unfavorable,Good,Failure
Very Low,Novice,Very Large,Below Average,Below Average,Unfavorable,Very Poor,Failure
Low,Advanced,Medium,Average,Average,Neutral,Poor,Failure
Very High,Advanced,Very Small,Below Average,Poor,Unfavorable,Poor,Failure
Very High,Expert,Small,Good,Poor,Unfavorable,Poor,Failure
Low,Advanced,Very Large,Poor,Below Average,Very Unfavorable,Average,Failure
Medium,Beginner,Large,Excellent,Good,Unfavorable,Average,Failure
Very Low,Intermediate,Very Small,Poor,Below Average,Favorable,Poor,Failure
High,Intermediate,Large,Poor,Below Average,Very Unfavorable,Average,Failure
High,Advanced,Large,Average,Good,Neutral,Good,Failure
Very Low,Advanced,Very Large,Poor,Poor,Very Unfavorable,Good,Failure
High,Advanced,Small,Below Average,Poor,Very Unfavorable,Good,Failure
Medium,Intermediate,Small,Good,Average,Unfavorable,Good,Failure
Low,Advanced,Small,Poor,Good,Very Unfavorable,Very Poor,Failure
High,Expert,Very Large,Poor,Poor,Very Favorable,Very Poor,Failure
Low,Advanced,Medium,Below Average,Poor,Favorable,Poor,Failure
High,Beginner,Small,Poor,Good,Very Favorable,Excellent,Success
High,Beginner,Large,Excellent,Excellent,Neutral,Average,Failure
Very High,Intermediate,Large,Poor,Poor,Favorable,Average,Success
High,Beginner,Medium,Poor,Good,Unfavorable,Poor,Failure
Very High,Intermediate,Very Small,Poor,Excellent,Favorable,Average,Success
Very Low,Beginner,Very Large,Excellent,Excellent,Unfavorable,Good,Success
High,Intermediate,Very Large,Excellent,Poor,Very Unfavorable,Average,Success
High,Novice,Large,Excellent,Average,Unfavorable,Poor,Failure
High,Beginner,Small,Excellent,Below Average,Neutral,Average,Failure
Very High,Advanced,Small,Poor,Average,Very Favorable,Poor,Failure
High,Intermediate,Medium,Below Average,Average,Favorable,Average,Failure
Medium,Intermediate,Very Small,Good,Poor,Very Favorable,Good,Failure
Very Low,Expert,Small,Good,Good,Very Favorable,Excellent,Success
Low,Novice,Small,Poor,Good,Very Favorable,Very Poor,Success
Low,Novice,Large,Average,Excellent,Very Favorable,Very Poor,Success
Very High,Advanced,Small,Good,Average,Very Unfavorable,Good,Failure
Very Low,Intermediate,Very Large,Excellent,Below Average,Neutral,Average,Failure
Very Low,Novice,Small,Average,Excellent,Neutral,Poor,Failure
Low,Novice,Small,Below Average,Below Average,Unfavorable,Average,Failure
Very High,Expert,Very Small,Average,Excellent,Unfavorable,Good,Success
Medium,Advanced,Very Large,Below Average,Good,Unfavorable,Poor,Failure
Very Low,Advanced,Medium,Average,Poor,Neutral,Excellent,Failure
Low,Novice,Very Large,Good,Below Average,Neutral,Poor,Failure
Medium,Beginner,Medium,Excellent,Poor,Neutral,Very Poor,Failure
Medium,Expert,Very Small,Below Average,Excellent,Unfavorable,Average,Failure
Medium,Beginner,Very Small,Below Average,Excellent,Very Unfavorable,Excellent,Success
High,Expert,Large,Average,Poor,Very Favorable,Excellent,Success
Medium,Beginner,Very Small,Excellent,Good,Neutral,Poor,Success
Medium,Advanced,Small,Poor,Below Average,Neutral,Very Poor,Failure
Low,Intermediate,Very Large,Below Average,Poor,Favorable,Very Poor,Success
Very High,Advanced,Medium,Excellent,Excellent,Neutral,Very Poor,Failure
High,Novice,Very Large,Poor,Below Average,Very Favorable,Excellent,Success
Low,Beginner,Very Large,Below Average,Below Average,Unfavorable,Poor,Failure
Low,Novice,Very Large,Excellent,Average,Favorable,Excellent,Success
Medium,Advanced,Very Large,Below Average,Below Average,Very Favorable,Very Poor,Failure
High,Beginner,Very Large,Good,Good,Very Unfavorable,Very Poor,Failure
Very High,Expert,Very Small,Excellent,Poor,Very Favorable,Poor,Failure
Very High,Intermediate,Very Large,Average,Good,Neutral,Very Poor,Failure
Low,Advanced,Very Large,Average,Average,Unfavorable,Excellent,Failure
High,Advanced,Medium,Poor,Good,Very Favorable,Poor,Failure
Low,Intermediate,Very Large,Good,Below Average,Favorable,Excellent,Success
Low,Advanced,Very Large,Poor,Below Average,Very Favorable,Good,Success
Very High,Beginner,Very Large,Average,Below Average,Favorable,Good,Success
Very High,Beginner,Small,Excellent,Poor,Favorable,Excellent,Success
Low,Advanced,Small,Good,Excellent,Very Favorable,Average,Success
Very High,Beginner,Small,Below Average,Excellent,Favorable,Very Poor,Failure
Very High,Advanced,Very Large,Below Average,Average,Unfavorable,Good,Success
Medium,Advanced,Very Small,Excellent,Good,Neutral,Excellent,Success
Medium,Expert,Small,Average,Excellent,Very Unfavorable,Poor,Failure
Very Low,Intermediate,Large,Poor,Poor,Very Favorable,Excellent,Success
Very Low,Beginner,Small,Average,Below Average,Favorable,Good,Success
Low,Intermediate,Medium,Excellent,Average,Neutral,Very Poor,Failure
